text,sentiment,category
Library seating capacity is limited during peak hours.,Neutral,Library
There is no proper feedback given by faculty after internal assessments.,Negative,Faculty
The Computer Science professor gives very low marks without proper explanation.,Negative,Faculty
Library staff helped me find research papers for my project quickly.,Positive,Library
The lecture hall AC has not been working for the past two weeks.,Negative,Infrastructure
Our Mathematics teacher is very supportive and takes extra doubt-clearing sessions.,Positive,Faculty
Hostel rules are fine but could be communicated more clearly.,Neutral,Hostel
Canteen seating area gets full quickly during peak hours.,Neutral,Canteen
I really appreciate how the Chemistry faculty encourages class participation.,Positive,Faculty
The canteen food quality has gone down and often tastes stale.,Negative,Canteen
Hostel mess introduced a new weekly menu that students enjoy.,Positive,Hostel
The exam duration for the practical test seems a bit short.,Neutral,Examination
The Physics professor is always available during office hours for guidance.,Positive,Faculty
Campus infrastructure for sports facilities has improved this year.,Positive,Infrastructure
The Physics faculty rarely comes to class on time and often cancels lectures.,Negative,Faculty
The Chemistry professor gives very low marks without proper explanation.,Negative,Faculty
The Physics faculty member shows favoritism towards certain students.,Negative,Faculty
"The teaching pace for Mathematics is okay, nothing special to mention.",Neutral,Faculty
Campus Wi-Fi is extremely slow and disconnects frequently during online classes.,Negative,Infrastructure
The Chemistry professor explains concepts very clearly and answers all doubts.,Positive,Faculty
The Computer Science professor is always available during office hours for guidance.,Positive,Faculty
There was a major error in the question paper during the mid-term exam.,Negative,Examination
