student_id,attendance,internal_marks,assignment_score,previous_cgpa,study_hours,backlogs,practical_marks,quiz_score,previous_failures,participation,risk_level
STU0031,65.97,73.53,51.46,8.57,4.98,0,77.17,49.3,0,47.69,Medium
STU0032,100.0,48.33,88.82,7.66,5.2,1,62.34,61.95,2,99.53,Medium
STU0033,74.8,75.0,80.97,6.92,4.41,0,86.36,68.9,0,61.0,Medium
STU0034,59.13,48.46,78.08,6.18,2.53,0,89.16,47.35,3,82.79,High
STU0035,87.34,57.49,80.74,6.06,0.5,3,58.7,65.95,2,75.27,High
STU0036,56.69,59.69,100.0,5.29,2.61,2,65.16,71.33,0,70.28,High
STU0037,78.13,82.56,100.0,6.2,2.95,5,61.64,63.6,0,65.81,High
STU0038,45.6,81.53,59.7,3.83,2.94,1,74.38,76.29,2,89.74,High
STU0039,55.08,42.58,94.36,5.77,4.61,1,90.27,65.01,0,48.5,High
STU0040,77.95,65.99,75.75,6.36,7.07,1,39.65,20.0,0,99.53,Medium
STU0041,86.08,52.23,77.49,7.65,3.72,1,43.89,47.71,0,39.26,Medium
STU0042,77.57,42.35,44.62,6.74,3.11,1,66.58,90.78,0,80.63,Medium
STU0043,73.27,61.09,67.44,7.91,3.03,0,71.16,74.37,0,36.9,Medium
STU0044,70.48,59.45,57.81,8.69,3.72,1,52.0,20.0,1,58.69,Medium
STU0045,52.82,100.0,82.42,8.28,2.01,1,71.07,37.82,1,66.87,Medium
STU0046,64.2,72.79,86.07,7.46,3.72,0,55.4,77.99,2,55.27,Medium
STU0047,68.09,40.2,38.88,6.82,4.31,2,60.4,54.63,2,61.37,High
STU0048,90.86,54.83,69.67,5.43,3.88,1,89.58,20.0,1,37.26,High
STU0049,80.15,83.38,86.83,7.84,4.32,0,62.17,84.07,2,45.25,Medium
STU0050,48.55,100.0,67.2,9.15,4.28,1,61.87,78.03,0,74.97,Medium
STU0051,79.86,36.45,80.94,7.28,0.5,2,70.24,50.07,0,65.59,High
STU0052,69.22,31.16,75.27,9.48,4.65,1,86.57,87.41,0,51.19,Medium
STU0053,64.85,98.68,75.12,4.66,2.29,1,67.27,50.75,0,91.49,High
STU0054,84.18,72.01,65.93,5.18,1.53,0,58.51,53.79,0,40.6,High
STU0055,90.46,49.37,51.75,8.0,1.51,2,77.85,56.26,1,57.77,High
STU0056,88.97,74.62,53.18,7.17,4.28,1,81.82,30.88,1,54.89,Medium
STU0057,62.41,20.0,80.64,8.64,3.1,2,87.46,72.43,0,77.3,High
STU0058,70.36,65.06,70.29,6.78,0.5,0,67.39,74.36,0,65.96,Medium
STU0059,79.97,70.9,67.92,5.58,4.36,1,76.08,56.75,0,62.84,Medium
STU0060,89.63,81.64,63.64,6.5,0.91,1,81.44,77.71,0,28.12,Medium
STU0061,67.81,46.75,65.42,4.65,3.75,1,71.09,36.36,0,82.3,High
STU0062,72.22,66.54,85.7,5.22,3.93,1,90.43,77.35,2,60.64,High
STU0063,58.4,48.34,64.97,8.16,5.09,3,79.07,70.86,1,67.31,High
STU0064,57.06,69.6,49.88,8.02,6.71,2,100.0,52.57,1,50.03,Medium
STU0065,87.19,48.88,81.15,7.31,1.04,0,83.6,72.45,0,46.88,Medium
STU0066,95.34,57.65,66.93,4.39,3.41,4,35.25,49.13,0,94.99,High
STU0067,73.92,47.08,70.47,6.3,3.0,2,61.23,84.89,0,29.54,High
STU0068,90.05,76.72,94.11,5.09,4.28,2,40.5,74.49,2,43.92,High
STU0069,80.42,80.45,69.69,8.45,3.89,2,57.14,71.55,0,94.61,Medium
STU0070,65.32,60.78,74.34,5.98,2.87,1,61.69,56.68,1,77.81,Medium
STU0071,80.42,65.69,52.32,5.28,2.71,3,82.77,78.95,2,58.49,High
STU0072,98.07,38.93,66.7,6.84,1.49,0,60.53,86.67,2,89.93,High
STU0073,74.46,59.61,79.14,5.9,5.28,0,91.7,93.92,0,73.94,Medium
STU0074,98.47,64.1,46.67,8.88,4.33,1,56.63,55.18,2,69.65,Medium
STU0075,35.7,100.0,73.01,5.77,5.15,1,63.1,79.73,1,69.51,High
STU0076,87.33,44.98,71.51,4.84,2.94,1,46.92,90.12,0,74.3,Medium
STU0077,76.31,91.36,70.62,3.79,2.32,1,92.56,60.63,0,75.11,High
STU0078,70.51,82.94,85.56,6.76,1.56,0,94.83,90.3,1,100.0,Medium
STU0079,76.38,70.05,75.02,6.01,4.15,1,65.75,67.86,0,61.1,Medium
STU0080,45.19,96.66,92.17,4.8,1.63,1,42.83,46.66,0,61.72,High
STU0081,71.7,71.7,55.1,8.46,6.83,5,64.46,52.22,1,40.26,High
STU0082,80.36,72.0,72.04,7.73,1.15,1,71.95,39.02,0,63.96,Medium
STU0083,97.17,64.04,71.27,6.76,3.99,2,57.21,64.3,2,100.0,High
STU0084,67.23,87.02,53.96,8.71,6.32,2,100.0,62.12,1,84.69,Medium
STU0085,62.87,84.74,84.34,7.73,4.58,2,99.03,68.39,0,54.13,Medium
STU0086,67.47,53.74,100.0,5.65,3.82,2,38.27,89.51,1,65.6,High
STU0087,88.73,41.25,69.74,5.35,1.76,1,48.39,64.7,0,39.07,High
STU0088,79.93,61.35,77.58,7.95,1.01,2,75.8,60.19,0,45.62,Medium
STU0089,67.05,50.6,71.27,7.35,4.89,0,49.78,61.41,2,67.99,High
STU0090,82.7,63.86,59.3,7.04,6.21,1,71.11,31.64,1,55.11,Medium
STU0091,76.46,87.27,42.69,5.61,2.71,2,68.18,77.3,0,44.11,High
STU0092,89.53,56.77,59.41,7.65,1.45,1,67.33,62.29,1,74.8,Medium
STU0093,64.47,64.23,49.12,5.74,0.5,3,85.32,66.45,0,63.35,High
STU0094,70.09,66.04,95.56,6.66,1.73,4,98.73,61.39,1,33.65,High
STU0095,69.12,80.27,68.27,8.83,3.3,2,74.73,67.29,1,23.5,Medium
STU0096,53.05,24.56,64.81,5.87,6.38,1,47.39,41.39,0,53.6,High
STU0097,79.44,54.08,83.34,4.6,4.71,0,70.45,64.98,0,33.23,Medium
STU0098,78.92,68.8,53.17,5.33,4.05,0,58.07,54.13,1,27.62,High
STU0099,75.08,86.6,58.5,8.19,2.78,0,100.0,65.63,0,87.58,Low
STU0100,71.48,56.15,71.02,7.16,2.45,1,79.78,46.73,0,63.05,Medium
STU0101,53.77,31.22,85.43,6.62,6.03,0,74.84,73.61,0,59.69,Medium
STU0102,68.69,76.15,77.53,6.09,3.86,0,79.04,65.39,0,61.23,Medium
STU0103,69.86,53.56,73.72,7.48,0.5,0,67.35,41.68,1,42.24,High
STU0104,62.97,43.59,71.17,5.61,2.29,0,89.28,82.03,2,73.22,High
STU0105,72.58,53.76,76.0,7.23,1.96,4,58.29,55.74,3,62.39,High
STU0106,81.06,61.68,73.02,5.78,2.52,0,84.32,58.54,2,49.85,High
STU0107,100.0,54.11,54.55,5.54,4.51,0,95.06,79.37,0,52.85,Medium
STU0108,77.62,25.3,70.69,5.91,3.31,1,54.16,84.32,2,40.45,High
STU0109,78.86,81.15,53.89,6.27,3.36,1,73.74,56.61,1,56.88,Medium
STU0110,73.88,87.95,71.22,6.73,5.86,0,75.08,67.01,0,60.21,Medium
STU0111,46.22,76.73,62.79,7.13,2.25,5,49.73,77.28,1,56.35,High
STU0112,74.6,44.52,100.0,3.0,6.86,1,44.73,87.74,1,66.1,High
STU0113,75.9,61.37,69.4,5.67,2.29,2,52.43,66.6,1,63.43,High
STU0114,100.0,64.88,48.94,6.25,3.66,3,67.11,73.49,1,69.62,High
STU0115,72.11,75.78,67.99,8.91,2.99,2,75.12,48.55,0,83.86,Medium
STU0116,79.52,77.03,77.79,5.29,3.72,0,61.72,37.78,1,76.86,Medium
STU0117,74.48,51.78,95.1,7.03,4.3,1,100.0,74.99,1,84.09,Medium
STU0118,57.47,66.48,61.16,8.89,4.28,1,85.44,50.48,0,48.05,Medium
STU0119,92.14,73.23,46.26,4.96,2.14,2,75.7,48.36,0,54.83,Medium
STU0120,86.28,91.2,82.25,7.35,1.48,0,60.68,76.55,1,78.07,Medium
STU0121,86.87,77.68,49.29,5.68,8.01,1,69.19,62.35,1,78.43,Medium
STU0122,61.36,79.2,63.46,6.09,2.63,2,86.73,69.1,0,51.43,Medium
STU0123,96.04,66.51,66.14,5.68,4.76,2,83.64,41.9,0,77.23,High
STU0124,53.97,90.39,68.96,5.78,0.61,0,83.46,48.6,0,46.13,Medium
STU0125,83.8,72.38,80.34,10.0,3.0,0,62.84,94.35,1,74.62,Low
STU0126,100.0,49.5,59.75,7.98,3.27,2,59.11,53.16,0,64.47,Medium
STU0127,60.14,90.26,65.89,8.34,4.35,1,43.73,61.34,0,37.31,Medium
STU0128,66.51,77.56,69.79,7.49,0.5,2,76.99,69.27,1,56.32,High
STU0129,76.49,57.03,72.24,4.55,3.8,2,42.19,45.74,2,100.0,High
STU0130,67.45,56.37,71.47,7.35,1.43,2,67.74,89.35,0,69.06,Medium
STU0131,51.74,70.34,76.54,8.3,4.08,0,60.86,65.14,2,100.0,Medium
STU0132,76.03,73.34,82.66,5.61,1.63,1,71.78,60.74,0,36.12,High
STU0133,59.07,68.55,75.89,8.15,1.96,2,87.81,84.23,1,80.01,Medium
STU0134,82.1,70.6,76.8,7.79,3.01,1,91.01,81.41,0,14.31,Medium
STU0135,61.21,95.6,46.27,9.39,1.61,3,79.94,100.0,2,65.0,Medium
STU0136,98.25,84.29,70.75,6.22,2.64,2,55.01,57.13,0,77.62,Medium
STU0137,63.25,68.43,77.19,5.26,1.35,3,67.62,100.0,0,81.76,High
STU0138,70.17,81.94,80.93,6.29,0.5,0,53.15,76.63,3,49.01,High
STU0139,87.2,46.41,59.61,8.81,5.33,1,56.88,95.43,0,85.78,Medium
STU0140,56.54,72.16,60.11,4.24,1.17,1,76.2,82.74,1,54.33,High
STU0141,78.41,97.57,61.39,3.9,3.18,0,51.44,53.44,1,61.72,High
STU0142,94.61,61.08,78.05,6.93,4.86,0,60.28,49.99,0,56.33,Medium
STU0143,50.89,49.74,85.51,6.18,2.39,2,49.81,32.53,1,42.27,High
STU0144,77.77,53.26,63.89,6.81,2.01,1,79.19,28.81,1,96.39,Medium
STU0145,78.9,45.39,83.62,8.12,3.91,3,61.87,53.98,1,65.96,Medium
STU0146,86.73,50.87,71.85,6.03,5.51,1,30.32,87.81,0,86.75,Medium
STU0147,56.45,58.33,68.14,4.18,1.4,4,95.77,56.03,0,85.89,High
STU0148,55.19,39.7,66.83,9.66,3.23,1,85.23,52.82,0,45.64,Medium
STU0149,82.83,65.28,81.2,5.4,0.5,1,33.74,77.59,0,89.32,High
STU0150,79.45,81.24,74.88,5.32,2.79,3,80.49,49.49,1,75.07,High
STU0151,78.76,48.66,100.0,8.35,3.56,0,93.89,98.13,0,44.18,Medium
STU0152,80.2,92.35,57.22,6.26,1.96,1,64.83,60.29,0,73.98,Medium
STU0153,64.8,74.19,77.77,6.71,2.68,3,70.53,81.75,1,44.54,High
STU0154,78.48,83.55,62.06,7.48,0.97,0,62.58,61.4,0,97.13,Medium
STU0155,79.4,53.16,56.96,8.32,3.64,4,76.84,65.44,2,81.28,High
STU0156,64.28,80.38,69.84,6.33,5.4,0,85.56,85.29,1,63.58,Medium
STU0157,100.0,45.35,72.06,8.93,1.53,3,47.75,69.13,0,90.3,Medium
STU0158,82.11,81.02,100.0,3.81,2.38,0,56.0,91.89,1,33.36,Medium
STU0159,57.13,68.09,67.24,7.86,4.4,2,69.73,50.9,1,50.01,High
STU0160,84.85,74.96,53.05,5.62,5.68,1,73.27,41.62,0,59.95,Medium
STU0161,60.38,43.84,74.1,8.72,0.81,1,74.93,33.51,1,100.0,High
STU0162,86.81,48.89,38.88,7.0,3.2,1,64.73,87.59,1,43.59,Medium
STU0163,92.38,75.75,68.62,5.86,4.01,1,53.0,81.23,2,30.85,High
STU0164,62.69,47.93,70.24,7.73,3.32,1,84.75,60.22,1,36.11,Medium
STU0165,89.45,73.34,81.92,8.05,0.5,0,47.23,70.38,0,83.12,Medium
STU0166,81.19,40.39,84.6,7.7,4.4,4,59.63,84.25,0,53.12,Medium
STU0167,87.33,80.27,62.45,5.36,6.23,1,68.3,61.58,0,61.82,Medium
STU0168,100.0,42.81,67.74,6.12,3.71,0,76.25,33.32,1,80.26,Medium
STU0169,71.32,74.94,58.51,6.79,1.64,1,63.04,33.55,1,61.84,High
STU0170,63.69,76.26,53.08,6.74,2.58,1,80.8,45.3,1,69.08,High
STU0171,61.66,52.46,74.65,7.85,6.69,1,89.26,66.84,1,75.7,Medium
STU0172,62.76,75.48,50.9,3.98,5.14,0,57.41,48.05,3,56.39,High
STU0173,73.84,69.69,63.78,7.27,4.65,1,74.66,83.6,0,61.67,Medium
STU0174,80.12,55.3,55.07,6.39,4.14,2,72.18,42.08,1,69.84,High
STU0175,79.15,46.85,78.25,5.63,2.31,3,62.2,52.52,0,82.36,High
STU0176,87.41,29.67,97.02,5.76,3.14,1,35.59,32.22,1,49.15,High
STU0177,75.2,71.29,50.48,6.5,3.36,0,74.02,56.99,0,10.0,Medium
STU0178,96.8,36.83,42.2,3.0,4.49,1,75.89,65.13,1,78.59,High
STU0179,71.03,66.72,68.13,5.82,6.22,1,86.48,84.4,0,83.55,Medium
STU0180,100.0,60.26,70.24,5.57,5.51,1,62.3,67.16,1,69.0,Medium
STU0181,84.39,77.22,73.28,7.55,0.95,1,56.66,78.34,1,70.37,Medium
STU0182,62.14,59.56,63.31,5.67,3.9,0,52.45,83.09,1,53.71,High
STU0183,58.94,59.07,66.99,6.5,4.83,0,20.0,72.06,0,75.0,High
STU0184,82.24,78.17,75.51,8.96,4.61,0,61.12,48.86,0,82.06,Low
STU0185,71.65,71.03,85.61,8.19,2.37,2,100.0,72.28,0,66.13,Medium
STU0186,85.71,70.69,40.67,8.06,8.75,0,89.61,91.78,1,100.0,Medium
STU0187,82.1,73.45,64.47,6.1,1.2,2,51.13,59.33,2,33.73,High
STU0188,73.91,37.36,73.21,7.56,1.55,2,59.25,74.98,0,68.26,High
STU0189,62.3,78.62,56.23,6.47,3.92,3,59.14,74.52,0,41.51,High
STU0190,52.28,76.02,95.97,6.53,7.31,1,91.78,58.36,2,82.6,Medium
STU0191,68.3,46.7,60.47,7.37,1.99,4,100.0,81.87,0,33.37,High
STU0192,87.85,60.61,69.38,5.96,3.02,0,69.53,58.08,2,38.32,High
STU0193,78.21,64.29,78.34,8.89,5.44,1,72.48,73.15,1,52.34,Medium
STU0194,56.31,62.58,61.13,6.58,3.47,1,76.85,60.69,0,70.32,Medium
STU0195,77.6,71.01,42.3,7.67,2.9,2,67.73,65.79,1,53.09,High
STU0196,80.78,90.76,63.57,8.84,4.52,0,72.79,81.8,1,53.29,Medium
STU0197,61.74,84.47,85.44,8.24,3.99,3,68.82,29.95,0,61.38,Medium
STU0198,77.31,41.38,64.95,4.83,5.35,0,76.13,76.11,0,60.16,High
STU0199,75.87,76.2,57.3,7.42,5.82,1,33.97,77.73,1,94.75,Medium
STU0200,57.86,88.92,83.89,7.99,4.05,2,59.85,54.65,0,78.72,Medium
STU0201,80.37,71.96,65.04,8.05,4.03,1,47.88,64.44,1,58.51,Medium
STU0202,83.41,84.64,62.35,5.24,3.89,2,79.73,47.43,0,100.0,Medium
STU0203,91.25,100.0,72.24,5.88,4.38,1,54.64,50.62,0,74.83,Medium
STU0204,90.81,83.43,81.56,8.19,3.6,1,41.4,69.88,0,45.62,Medium
STU0205,54.33,69.49,100.0,5.73,3.5,2,37.6,100.0,0,70.13,Medium
STU0206,60.93,83.81,82.41,6.38,5.65,0,75.64,76.95,0,75.71,Medium
STU0207,82.73,67.61,87.4,9.01,6.23,1,52.21,49.73,0,51.25,Medium
STU0208,82.71,65.43,62.41,6.73,0.79,2,65.65,78.96,1,43.95,High
STU0209,82.73,58.67,54.61,5.78,3.52,0,94.91,75.46,2,66.73,Medium
STU0210,100.0,93.14,70.93,5.57,2.26,0,74.38,33.92,1,57.8,Medium
STU0211,83.56,50.27,71.61,7.27,2.94,1,59.33,59.31,0,94.58,Medium
STU0212,92.03,92.58,53.82,4.93,4.22,1,48.02,62.43,0,79.82,Medium
STU0213,89.31,74.0,67.37,6.45,4.7,6,75.39,67.13,1,52.18,High
STU0214,84.77,39.81,75.99,7.27,3.3,0,65.81,64.43,0,73.52,Medium
STU0215,70.27,71.62,75.41,8.62,0.5,0,77.84,67.66,0,90.34,Medium
STU0216,86.38,27.2,77.56,7.73,1.76,2,27.48,48.17,1,37.12,High
STU0217,63.41,76.26,74.36,5.8,5.11,3,87.34,59.15,0,44.54,High
STU0218,71.45,80.93,62.39,8.45,0.5,2,38.88,60.22,1,64.78,Medium
STU0219,67.72,54.34,62.29,6.38,5.64,1,59.77,85.88,0,65.71,Medium
STU0220,76.23,67.22,52.02,5.07,4.44,0,91.63,52.45,0,63.96,Medium
STU0221,100.0,100.0,96.77,6.56,5.87,3,30.03,60.6,1,58.78,Medium
STU0222,46.99,55.9,70.2,8.81,3.14,1,66.52,58.59,2,58.48,High
STU0223,85.29,45.94,66.63,7.03,0.5,0,63.33,93.57,0,72.69,Medium
STU0224,50.81,91.67,56.07,6.82,4.27,1,67.51,76.97,0,87.68,High
STU0225,67.92,100.0,100.0,9.09,5.79,0,74.06,48.19,0,55.38,Low
STU0226,91.33,65.07,53.9,4.8,5.16,1,68.26,72.15,2,100.0,High
STU0227,75.96,83.21,63.57,5.0,2.31,3,45.22,46.79,2,100.0,High
STU0228,58.83,89.15,76.24,4.54,3.66,1,69.65,69.69,0,91.59,Medium
STU0229,64.27,51.64,79.0,7.32,2.54,2,67.69,89.59,0,77.45,High
STU0230,85.19,56.26,84.37,7.03,2.03,2,66.98,29.79,0,100.0,Medium
STU0231,64.04,87.16,97.11,8.96,5.22,1,100.0,46.85,2,59.2,Medium
STU0232,78.25,95.33,77.59,7.14,1.34,0,90.74,67.81,0,48.35,Medium
STU0233,75.68,75.13,54.16,6.23,1.89,1,99.06,57.87,0,54.48,Medium
STU0234,65.23,49.16,66.15,6.8,1.51,2,73.85,68.85,1,44.94,High
STU0235,100.0,100.0,74.62,6.96,0.82,1,98.35,63.5,1,67.44,Medium
STU0236,84.51,55.44,100.0,4.46,3.76,0,53.45,34.75,0,71.0,High
STU0237,44.62,58.97,49.03,10.0,5.59,0,61.89,76.2,0,69.02,Low
STU0238,77.8,71.16,88.04,7.53,3.17,1,58.14,40.97,1,64.75,Medium
STU0239,65.07,92.97,72.7,7.09,0.79,1,59.57,68.7,1,67.66,High
STU0240,87.79,80.37,82.57,7.66,5.01,2,68.7,56.82,1,99.73,Medium
STU0241,63.11,72.47,68.47,7.79,6.53,1,71.47,100.0,1,77.4,Medium
STU0242,73.28,73.34,57.36,6.6,2.34,0,75.33,62.82,0,83.45,Medium
STU0243,82.57,65.78,81.26,5.92,2.64,1,97.66,71.32,1,68.82,High
STU0244,87.99,75.05,79.82,7.64,4.43,0,42.08,74.97,1,32.69,Medium
STU0245,57.0,20.0,84.58,7.34,6.42,0,47.51,71.08,1,28.72,Medium
STU0246,69.98,59.66,69.8,5.67,2.56,1,26.49,64.52,0,100.0,High
STU0247,67.88,69.34,61.0,8.79,1.1,0,53.69,47.17,0,54.36,Medium
STU0248,65.2,44.28,46.62,7.21,4.64,1,60.45,62.99,1,52.66,High
STU0249,100.0,71.95,82.29,7.82,4.94,2,56.13,31.41,0,69.91,Medium
STU0250,81.07,61.32,76.36,8.75,3.51,3,48.64,73.78,0,76.01,Medium
STU0251,56.09,96.6,55.51,6.83,2.5,3,69.51,100.0,0,78.54,High
STU0252,88.77,93.31,61.92,7.24,5.29,0,61.43,68.18,0,100.0,Low
STU0253,100.0,56.62,63.0,7.93,4.45,2,52.96,71.11,1,95.01,Medium
STU0254,90.49,62.28,47.76,5.79,2.12,3,70.57,37.07,1,48.78,High
STU0255,52.21,63.67,57.73,6.88,3.59,2,58.26,50.31,0,84.37,Medium
STU0256,67.74,56.87,52.99,6.98,1.07,1,87.66,81.11,1,57.32,High
STU0257,94.0,68.51,63.81,5.46,4.73,1,65.22,38.95,0,62.25,Medium
STU0258,64.38,51.35,58.92,10.0,3.03,0,62.05,51.9,0,43.12,Medium
STU0259,81.66,44.65,45.59,4.83,2.72,2,72.45,75.22,0,31.14,High
STU0260,86.62,76.21,100.0,4.98,3.44,0,33.9,79.56,1,64.37,High
STU0261,61.1,76.33,88.79,8.64,3.57,1,88.63,63.04,1,45.88,Medium
STU0262,74.11,50.52,58.31,7.8,5.11,1,81.34,67.21,0,83.56,Medium
STU0263,35.0,81.12,74.09,5.36,4.56,2,54.52,67.17,0,59.38,High
STU0264,59.63,53.63,76.26,7.65,3.22,0,48.78,42.8,1,71.17,Medium
STU0265,71.21,69.56,87.87,8.85,4.87,3,50.83,63.68,0,92.35,Medium
STU0266,56.28,79.77,57.72,6.76,4.22,1,44.03,69.35,1,35.29,High
STU0267,99.49,64.39,86.38,10.0,2.73,0,39.16,63.41,1,50.51,Low
STU0268,53.55,73.19,61.78,4.39,3.28,0,43.48,30.34,1,68.62,High
STU0269,68.4,55.7,49.96,7.77,3.23,1,23.0,92.64,1,71.25,High
STU0270,76.96,61.46,80.86,8.43,4.41,4,61.82,45.32,0,87.07,High
STU0271,96.62,61.29,89.36,8.05,2.84,1,65.68,66.3,0,82.34,Medium
STU0272,53.46,51.56,100.0,6.51,2.8,0,89.78,70.79,2,66.94,High
STU0273,92.45,61.82,52.0,6.39,7.04,1,84.78,56.81,1,71.07,Medium
STU0274,75.15,37.12,80.48,7.42,5.19,3,55.52,69.4,0,71.62,High
STU0275,60.28,56.16,63.85,7.94,2.13,1,63.79,51.05,0,35.61,High
STU0276,81.93,59.87,81.75,7.64,4.53,1,86.75,100.0,1,61.87,Medium
STU0277,77.99,60.39,47.94,8.26,3.71,1,60.38,60.31,0,69.97,Medium
STU0278,66.0,60.65,51.06,5.37,4.2,0,70.9,81.18,0,74.17,Medium
STU0279,76.05,63.89,58.36,6.48,3.75,1,57.7,45.33,0,46.51,High
STU0280,69.22,73.63,71.18,5.48,5.64,1,68.67,77.98,1,39.62,High
STU0281,76.7,80.74,60.38,6.26,4.12,1,69.42,52.09,0,60.31,Medium
STU0282,84.93,53.3,79.89,8.22,3.39,0,62.07,39.92,0,100.0,Low
STU0283,98.79,43.34,85.4,6.95,5.38,2,86.12,45.83,0,48.62,Medium
STU0284,56.43,46.24,78.99,10.0,3.92,0,53.31,49.74,0,88.48,Low
STU0285,100.0,56.23,94.28,7.07,3.72,1,69.96,67.01,1,96.69,Medium
STU0286,45.72,58.67,76.24,6.88,4.07,1,98.32,100.0,1,65.91,Medium
STU0287,72.72,51.14,51.75,6.95,3.33,1,73.29,100.0,0,51.4,Medium
STU0288,83.82,41.67,90.45,5.91,3.52,1,54.46,59.21,0,75.26,Medium
STU0289,79.21,56.79,60.92,6.72,2.44,4,73.91,82.27,2,68.9,High
STU0290,65.66,68.27,83.66,8.38,2.15,0,100.0,42.43,0,47.82,Medium
STU0291,71.88,75.71,93.61,6.96,1.7,0,68.67,27.13,1,51.82,High
STU0292,67.6,54.97,76.85,5.69,0.99,1,81.49,65.55,1,74.07,High
STU0293,66.16,57.57,47.56,5.5,1.92,0,68.09,74.83,1,83.67,High
STU0294,87.74,48.32,56.23,6.17,3.19,1,72.68,79.1,0,58.54,Medium
STU0295,80.36,64.43,89.84,6.9,3.69,0,66.67,84.43,1,63.62,Medium
STU0296,64.61,49.73,67.46,8.47,3.01,0,50.69,59.05,0,78.37,Medium
STU0297,88.49,75.32,71.19,4.92,0.5,1,74.36,66.3,0,61.55,Medium
STU0298,79.61,32.85,81.38,6.35,6.33,2,47.21,79.78,0,59.01,Medium
STU0299,87.19,58.53,80.44,7.0,5.46,0,62.69,86.48,0,49.89,Medium
STU0300,84.44,70.42,74.18,4.23,4.3,1,100.0,48.67,2,49.55,High
STU0301,62.57,68.31,66.87,5.63,6.93,1,66.78,68.79,1,100.0,High
STU0302,66.6,100.0,65.31,5.85,1.74,0,52.3,76.69,1,61.08,High
STU0303,86.21,71.3,82.87,5.69,6.9,2,72.1,67.66,2,92.3,Medium
STU0304,84.16,46.93,78.3,7.07,1.76,2,58.59,53.8,0,98.68,Medium
STU0305,74.69,63.28,66.14,6.58,3.93,3,69.85,65.06,0,61.33,High
STU0306,76.76,33.03,86.23,6.02,1.21,0,48.0,74.54,0,72.37,High
STU0307,94.16,63.55,68.06,7.4,3.53,3,81.25,51.31,0,67.05,Medium
STU0308,66.13,50.0,57.23,9.21,4.2,1,70.12,43.45,0,32.76,Medium
STU0309,83.21,81.48,58.62,9.09,3.22,1,50.97,100.0,2,33.96,Medium
STU0310,71.97,55.11,55.32,4.11,4.78,3,74.12,68.38,0,65.98,High
STU0311,71.73,62.9,65.91,7.61,3.68,0,100.0,81.89,2,56.5,Medium
STU0312,91.48,53.56,88.51,6.55,2.56,1,54.47,68.77,0,100.0,Medium
STU0313,87.38,96.3,57.92,7.02,2.48,1,80.88,83.91,2,60.27,Medium
STU0314,87.2,59.22,72.83,6.24,4.96,2,75.1,66.43,1,100.0,Medium
